Year,Measure,Fishery,Gear,Area,Value,Unit
2018,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"11,177",tons
2018,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,528",tons
2018,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"9,813",tons
2018,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,730,tons
2018,ExpectedUse,Special use,,StraitofGeorgia,902,
2018,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"11,177",tons
2018,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,528",tons
2018,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"9,813",tons
2018,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,730,tons
2018,QuotaIssued,SOK,NA,PrinceRupertDistrict,"51,846.00",lbs
2018,QuotaIssued,SOK,NA,CentralCoast,"387,650.00",lbs
2018,QuotaIssued,SOK,NA,Area10/12,"62,565.00",lbs
2018,QuotaIssued,Food and Bait,,StraitofGeorgia,"6,954",tons
2018,QuotaIssued,Food and Bait,,PrinceRupertDistrict,0,tons
2018,QuotaIssued,Special use,,StraitofGeorgia,671,
2018,Landings,Roe herring,Gillnet,StraitofGeorgia,"11,076",tons
2018,Landings,Roe herring,Gillnet,PrinceRupertDistrict,459,tons
2018,Landings,Roe herring,Seine,StraitofGeorgia,"3,429",tons
2018,Landings,Roe herring,Seine,PrinceRupertDistrict,0,tons
2018,Landings,SOK,NA,PrinceRupertDistrict,"20,832",lbs
2018,Landings,SOK,NA,CentralCoast,"289,358",lbs
2018,Landings,SOK,NA,Area10/12,"18,761",lbs
2018,Landings,Food and Bait,,StraitofGeorgia,"6,005",tons
2018,Landings,Food and Bait,,PrinceRupertDistrict,N/A,
2018,Landings,Special use,,StraitofGeorgia,Unknown(Privacy),
2018,#Pools,Roe herring,Gillnet,StraitofGeorgia,13,
2018,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,6,
2018,#Pools,Roe herring,Seine,StraitofGeorgia,7,
2018,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2018,#Licences,Roe herring,Gillnet,StraitofGeorgia,970,
2018,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,245,
2018,#Licences,Roe herring,Seine,StraitofGeorgia,198,
2018,#Licences,Roe herring,Seine,PrinceRupertDistrict,34,
2018,#Licences,SOK,NA,PrinceRupertDistrict,3,
2018,#Licences,SOK,NA,CentralCoast,15,
2018,#Licences,SOK,NA,Area10/12,4,
2018,#Licences,Food and Bait,,StraitofGeorgia,252,
2018,#Licences,Food and Bait,,PrinceRupertDistrict,0,
2018,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,11.522,tons
2018,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,6.237,tons
2018,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,49.561,tons
2018,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,21.471,tons
2018,Tonsperlicence,Food and Bait,,StraitofGeorgia,23.809 / 46* / 80** ,
2018,Tonsperlicence,Food and Bait,,PrinceRupertDistrict,0 ,tons
2018,Open,Roe herring,Gillnet,StraitofGeorgia,"1st - Mar2, 2018 12:00 ",
2018,Open,Roe herring,Gillnet,PrinceRupertDistrict,2018-03-25 9:00,
2018,Open,Roe herring,Seine,StraitofGeorgia,2018-03-05 12:00,
2018,Open,Roe herring,Seine,PrinceRupertDistrict,No opening ,
2018,Open,SOK,NA,PrinceRupertDistrict,- ,
2018,Open,SOK,NA,CentralCoast,- ,
2018,Open,SOK,NA,Area10/12,- ,
2017,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"15,172",tons
2017,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,500",tons
2017,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"13,013",tons
2017,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,"1,000",tons
2017,ExpectedUse,Roe herring,Seine,CentralCoast,215,tons
2017,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"15,172",tons
2017,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,500",tons
2017,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"13,013",tons
2017,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,"1,000",tons
2017,QuotaIssued,Roe herring,Seine,CentralCoast,215,tons
2017,QuotaIssued,Food and Bait,,StraitofGeorgia,"7,542",tons
2017,QuotaIssued,Food and Bait,,PrinceRupertDistrict,500,tons
2017,Landings,Roe herring,Gillnet,StraitofGeorgia,"10,166",tons
2017,Landings,Roe herring,Gillnet,PrinceRupertDistrict,"1,541",tons
2017,Landings,Roe herring,Seine,StraitofGeorgia,"9,695",tons
2017,Landings,Roe herring,Seine,PrinceRupertDistrict,"1,124",tons
2017,Landings,Roe herring,Seine,CentralCoast,0,tons
2017,Landings,Food and Bait,,StraitofGeorgia,"7,383",tons
2017,Landings,Food and Bait,,PrinceRupertDistrict,*N/A,
2017,#Pools,Roe herring,Gillnet,StraitofGeorgia,11,
2017,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,6,
2017,#Pools,Roe herring,Seine,StraitofGeorgia,8,
2017,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2017,#Pools,Roe herring,Seine,CentralCoast,1,
2017,#Licences,Roe herring,Gillnet,StraitofGeorgia,753,
2017,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,455,
2017,#Licences,Roe herring,Seine,StraitofGeorgia,175,
2017,#Licences,Roe herring,Seine,PrinceRupertDistrict,52,
2017,#Licences,Roe herring,Seine,CentralCoast,227,
2017,#Licences,Food and Bait,,StraitofGeorgia,250,
2017,#Licences,Food and Bait,,PrinceRupertDistrict,1,
2017,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,20.149,tons
2017,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,3.297,tons
2017,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,74.36,tons
2017,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,19.231,tons
2017,Tonsperlicence,Roe herring,Seine,CentralCoast,0.947,tons
2017,Tonsperlicence,Food and Bait,,StraitofGeorgia,29.41/61.68,tons
2017,Tonsperlicence,Food and Bait,,PrinceRupertDistrict,500,tons
2017,Open,Roe herring,Gillnet,StraitofGeorgia,2017-03-04 11:00,
2017,Open,Roe herring,Gillnet,PrinceRupertDistrict,2017-03-17 15:00,
2017,Open,Roe herring,Seine,StraitofGeorgia,2017-03-06 11:00,
2017,Open,Roe herring,Seine,PrinceRupertDistrict,2017-03-23 7:11,
2017,Open,Roe herring,Seine,CentralCoast,No opening,
2016,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"11,571",tons
2016,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,500",tons
2016,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"8,374",tons
2016,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,"1,000",tons
2016,ExpectedUse,Roe herring,Seine,CentralCoast,215,tons
2016,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"11,571",tons
2016,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,500",tons
2016,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"8,374",tons
2016,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,"1,000",tons
2016,QuotaIssued,Roe herring,Seine,CentralCoast,215,tons
2016,QuotaIssued,Food and Bait,,StraitofGeorgia,7768,
2016,QuotaIssued,Food and Bait,,PrinceRupertDistrict,500,
2016,Landings,Roe herring,Gillnet,StraitofGeorgia,"6,761",tons
2016,Landings,Roe herring,Gillnet,PrinceRupertDistrict,"1,521",tons
2016,Landings,Roe herring,Seine,StraitofGeorgia,"8,407",tons
2016,Landings,Roe herring,Seine,PrinceRupertDistrict,803,tons
2016,Landings,Roe herring,Seine,CentralCoast,234,tons
2016,Landings,Food and Bait,,StraitofGeorgia,7639,
2016,Landings,Food and Bait,,PrinceRupertDistrict,*N/A,
2016,#Pools,Roe herring,Gillnet,StraitofGeorgia,11,
2016,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,6,
2016,#Pools,Roe herring,Seine,StraitofGeorgia,8,
2016,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2016,#Pools,Roe herring,Seine,CentralCoast,1,
2016,#Licences,Roe herring,Gillnet,StraitofGeorgia,812,
2016,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,346,
2016,#Licences,Roe herring,Seine,StraitofGeorgia,186,
2016,#Licences,Roe herring,Seine,PrinceRupertDistrict,8,
2016,#Licences,Roe herring,Seine,CentralCoast,2,
2016,#Licences,Food and Bait,,StraitofGeorgia,241,
2016,#Licences,Food and Bait,,PrinceRupertDistrict,6,
2016,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,14.25,tons
2016,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,4.335,tons
2016,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,45.022,tons
2016,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,43.478,tons
2016,Tonsperlicence,Roe herring,Seine,CentralCoast,107.5,tons
2016,Open,Roe herring,Gillnet,StraitofGeorgia,"*Mar6, 2016 10:15",
2016,Open,Roe herring,Gillnet,PrinceRupertDistrict,2016-03-18 19:00,
2016,Open,Roe herring,Seine,StraitofGeorgia,2016-03-03 7:45,
2016,Open,Roe herring,Seine,PrinceRupertDistrict,"*Mar20, 2016 16:15",
2016,Open,Roe herring,Seine,CentralCoast,2016-03-26 6:30,
2015,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"13,975",tons
2015,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,200",tons
2015,ExpectedUse,Roe herring,Gillnet,CentralCoast,600,tons
2015,ExpectedUse,Roe herring,Gillnet,WestCoastVancouverIsland,"1,000",tons
2015,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"15,440",tons
2015,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,800,tons
2015,ExpectedUse,Roe herring,Seine,WestCoastVancouverIsland,"2,000",tons
2015,ExpectedUse,Roe herring,Seine,HaidaGwaii,800,tons
2015,ExpectedUse,Roe herring,Seine,CentralCoast,800,tons
2015,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"13,975",tons
2015,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,200",tons
2015,QuotaIssued,Roe herring,Gillnet,CentralCoast,600,tons
2015,QuotaIssued,Roe herring,Gillnet,WestCoastVancouverIsland,"1,000",tons
2015,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"15,440",tons
2015,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,800,tons
2015,QuotaIssued,Roe herring,Seine,WestCoastVancouverIsland,"2,000",tons
2015,QuotaIssued,Roe herring,Seine,HaidaGwaii,800,tons
2015,QuotaIssued,Roe herring,Seine,CentralCoast,800,tons
2015,QuotaIssued,Food and Bait,,StraitofGeorgia,"9,085",tons
