"AREA","LagAREA","ChangeInArea","OppositeChange","Year","n","Group.x","AREA.y","LagAREA.y","loss_n","Group.y","NetChange"
"Central Coast","BC COAST WIDE","BC COAST WIDE/CENTRAL","CENTRAL/BC COAST WIDE",1999,1,"BC COAST WIDE/CENTRAL",NA,NA,NA,NA,NA
"Central Coast","HAIDA GWAII","HAIDA GWAII/CENTRAL","CENTRAL/HAIDA GWAII",1999,2,"HAIDA GWAII/CENTRAL","HAIDA GWAII","CENTRAL",12,"CENTRAL/HAIDA GWAII",-10
"Central Coast","HAIDA GWAII","HAIDA GWAII/CENTRAL","CENTRAL/HAIDA GWAII",2000,7,"HAIDA GWAII/CENTRAL","HAIDA GWAII","CENTRAL",4,"CENTRAL/HAIDA GWAII",3
"Central Coast","HAIDA GWAII","HAIDA GWAII/CENTRAL","CENTRAL/HAIDA GWAII",2001,6,"HAIDA GWAII/CENTRAL",NA,NA,NA,NA,NA
"Central Coast","HAIDA GWAII","HAIDA GWAII/CENTRAL","CENTRAL/HAIDA GWAII",2003,2,"HAIDA GWAII/CENTRAL",NA,NA,NA,NA,NA
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",1999,25,"Prince Rupert/CENTRAL","Prince Rupert","CENTRAL",7,"CENTRAL/Prince Rupert",18
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",2000,12,"Prince Rupert/CENTRAL","Prince Rupert","CENTRAL",43,"CENTRAL/Prince Rupert",-31
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",2001,11,"Prince Rupert/CENTRAL","Prince Rupert","CENTRAL",23,"CENTRAL/Prince Rupert",-12
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",2002,16,"Prince Rupert/CENTRAL","Prince Rupert","CENTRAL",30,"CENTRAL/Prince Rupert",-14
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",2003,10,"Prince Rupert/CENTRAL","Prince Rupert","CENTRAL",10,"CENTRAL/Prince Rupert",0
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",2005,4,"Prince Rupert/CENTRAL","Prince Rupert","CENTRAL",3,"CENTRAL/Prince Rupert",1
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",2006,4,"Prince Rupert/CENTRAL","Prince Rupert","CENTRAL",4,"CENTRAL/Prince Rupert",0
"Central Coast","Prince Rupert","Prince Rupert/CENTRAL","CENTRAL/Prince Rupert",2007,3,"Prince Rupert/CENTRAL",NA,NA,NA,NA,NA
"Central Coast","Strait of Georgia","Strait of Georgia/CENTRAL","CENTRAL/Strait of Georgia",1999,45,"Strait of Georgia/CENTRAL","Strait of Georgia","CENTRAL",44,"CENTRAL/Strait of Georgia",1
